vehicleId,vehicleName,vehicleType,groupName,make,model,year,vin,licensePlate,odometer,phoneNumber,costPerMile,serialNumber,assetNumber,lastContactDate,lastContactDateGMT,ownerShip,fuelTypeId,driverId,engineHours,imei,deviceId,trackeeTypeId,deviceTypeId,fuelTypeName,odo_support,lastConatctDateGMT,vehicleSupportedOdo
b6c26c77-f0b3-11ec-a2b6-63bca9acae90,2201601400,Car,175,12,12,1996,,,0.0,,0.55,2201601400,,,,,1,b6d35c69-f0b3-11ec-a2b6-ebd85a7724f4,0,352602117454741,b6c26c78-f0b3-11ec-a2b6-414ac7f4cdb0,1,1,Gasoline,False,,
f0eec67e-f248-11ec-a2b6-6b5c720c30c4,1120103372,Car,Default Group,12,12,1996,,,0.0,,0.55,1120103372,,,,,1,f1086900-f248-11ec-a2b6-4df325a08669,0,352602117069408,f0eec67f-f248-11ec-a2b6-238a9fc13389,1,1,Gasoline,False,,
f5831bb7-f248-11ec-a2b6-5fb1c25d0969,1120101680,Car,Default Group,12,12,1996,,,0.0,,0.55,1120101680,,,,,1,f5925df9-f248-11ec-a2b6-633b8dcb52b2,0,352602117052503,f5831bb8-f248-11ec-a2b6-1712ea0fc639,1,1,Gasoline,False,,
fb90a370-f248-11ec-a2b6-f54c686b6ab2,91900,Car,018,FORD,Transit Connect,2021,NM0LS7E27M1500938,29284J3,17843.1229,,0.55,1112405718,91900,"Jul-29-2022, 12:59 PM CDT",1659117541000.0,,1,61c0cbcc-8ed3-11ea-b8cc-6915b7a54bb3,93852,352602116802890,fb90a371-f248-11ec-a2b6-1fe618537371,1,1,Gasoline,True,1659117541000.0,17857.0
0032db59-f249-11ec-a2b6-b560c9cfc424,96251,Car,188,FORD,Transit Connect,2022,NM0LS7S26N1518644,56042M3,9366.5153,,0.55,1113004196,96251,"Jul-29-2022, 12:40 PM CDT",1659116400000.0,,1,6a8b68dd-8ed9-11ea-b8cc-9d2ad1fdebcb,329962,352602117027687,0032db5a-f249-11ec-a2b6-27a770b25472,1,1,Gasoline,True,1659116400000.0,9417.0
0922264b-f249-11ec-a2b6-abf4c8633ae3,93052,Car,075,FORD,Transit Connect,2022,NM0LS7S29N1506665,QWPW71,22520.2652,,0.55,1112401105,93052,"Jul-29-2022, 12:59 PM CDT",1659117571000.0,,1,8a9388a8-74bf-8cd7-0174-d58495bb0a9c,183330,352602116756807,0922264c-f249-11ec-a2b6-955db9a29573,1,1,Gasoline,True,1659117571000.0,22545.0
0db0af24-f249-11ec-a2b6-93d6660ef876,1112904216,Car,Default Group,12,12,1996,,,0.0,,0.55,1112904216,,,,,1,0dbc6ef6-f249-11ec-a2b6-f5f9705cc0f0,0,352602116977932,0db0af25-f249-11ec-a2b6-9fe8f10497a4,1,1,Gasoline,False,,
14c45c3d-f249-11ec-a2b6-8356e2db4574,96412,Car,143,NISSAN,NV200,2021,3N6CM0KN1MK699290,06AHWA,36473.4,,0.55,1112503487,96412,"Jul-29-2022, 09:48 AM CDT",1659106133000.0,,1,14e8fb3f-f249-11ec-a2b6-0556314a66ef,99994,352602116830552,14c45c3e-f249-11ec-a2b6-fda61773909b,1,1,Gasoline,True,1659106133000.0,36498.0
189b7bf6-f249-11ec-a2b6-69351769d121,92942,Car,143,NISSAN,NV,2021,1N6BF0KM8MN801465,QNWW62,51193.536,,0.55,1120102166,92942,"Jul-24-2022, 04:39 AM CDT",1658655594000.0,,1,18b78f78-f249-11ec-a2b6-bdd5ca03eb12,41471,352602117057353,189b7bf7-f249-11ec-a2b6-d7f6fa559f47,1,1,Gasoline,False,1658655594000.0,
1e060cef-f249-11ec-a2b6-83d24efb4e2a,91898,Car,143,FORD,Transit Connect,2021,NM0LS7E21M1500935,69AJYW,51520.02,,0.55,1112302640,91898,"Jul-29-2022, 12:47 PM CDT",1659116849000.0,,1,1e1b1b91-f249-11ec-a2b6-ed2b9890a62c,207061,352602116722197,1e060cf0-f249-11ec-a2b6-3b3c4d245c39,1,1,Gasoline,True,1659116849000.0,51998.0
236ddec8-f249-11ec-a2b6-1b960ae84138,93687,Car,143,DODGE,Grand Caravan,2018,2C4RDGCG7JR240568,QREZ04,106887.7352,,0.55,1112404186,93687,"Jul-29-2022, 11:56 AM CDT",1659113767000.0,,1,8a9388a8-74bf-8cd7-0174-d58298160a92,83637,352602116787588,236ddec9-f249-11ec-a2b6-83b075e73a14,1,1,Gasoline,False,1659113767000.0,
89100355-f7d7-11ec-90b6-5582aa8fc951,82195F,Car,039,NISSAN,NV200,2019,3N6CM0KN2KK690384,74188P2,172764.3,,0.55,1112904486,82195F,"Jul-29-2022, 12:59 PM CDT",1659117597000.0,,1,08512b2b-147f-11e9-83b1-8591f8d847cc,195031,352602116980639,145c34a7-a08e-11ec-b997-d15375520aa8,1,1,Gasoline,True,1659117597000.0,171639.0
dabcac97-f7d7-11ec-90b6-d1de107b964b,80154S,Car,039,NISSAN,NV200,2018,3N6CM0KNXJK700111,50218L2,136911.4271,,0.55,1112904492,80154S,"Jul-29-2022, 12:56 PM CDT",1659117363000.0,,1,8a9388a9-7dd7-6247-017e-2bea0b0b4d91,299054,352602116980696,1c5a41c5-a08e-11ec-b997-79b1fe44d5d9,1,1,Gasoline,False,1659117363000.0,135828.0
a3b31f16-f7e1-11ec-a9f8-07db2e29be1f,1112705850,Car,Default Group,12,12,1996,,,0.0,,0.55,1112705850,,,,,1,,0,352602116904266,0ca4ff8d-a527-11ec-b997-a34f0b915834,1,1,Gasoline,False,,
e0e1a885-f7e1-11ec-a9f8-9befa03e7a10,80097F,Car,166,NISSAN,NV,2018,1N6BF0KM3JN802180,DB26243,4265.9,,0.55,1112502220,80097F,"Jul-29-2022, 12:58 PM CDT",1659117506000.0,,1,5fae5eff-e9dc-11e8-856f-dddcfe7ad4bf,244909,352602116817898,0eddef5c-a55d-11ec-b997-492b2b4db49c,1,1,Gasoline,False,1659117506000.0,
fce2d8d9-f7e1-11ec-8255-fb46fb8a00d0,1112701485,Car,Default Group,12,12,1996,,,0.0,,0.55,1112701485,,,,,1,,0,352602116860658,1389d37b-a527-11ec-b997-630dbd917740,1,1,Gasoline,False,,
1bbcf2ed-f7e2-11ec-8255-b3b1a4347bf7,1112804601,Car,Default Group,12,12,1996,,,0.0,,0.55,1112804601,,,,,1,,0,352602116941730,162b4a1a-a55d-11ec-b997-0fcb5bf1be13,1,1,Gasoline,False,,
3707f301-f7e2-11ec-a9f8-0b34ab5ae1af,76296S,Car,166,NISSAN,NV,2018,1N6BF0KMXJN800233,DB26236,3612.1648,,0.55,1112401852,76296S,"Jul-29-2022, 12:16 PM CDT",1659114990000.0,,1,5a6a25b8-8ed7-11ea-b8cc-8b6941dcacce,194107,352602116764272,1dd347f8-a55d-11ec-b997-153443b3bb43,1,1,Gasoline,False,1659114990000.0,
506cf4d3-f7e2-11ec-a9f8-9b9e7dd7b246,91581,Car,131,RAM,Promaster 2500,2020,3C6TRVDG6LE141892,84000NA,5568.362,,0.55,1112802955,91581,"Jul-29-2022, 12:45 PM CDT",1659116730000.0,,1,8a9388a9-7dd7-6247-017e-265911f44557,515144,352602116925295,38cad62f-a08e-11ec-b997-d7ee8f520e29,1,1,Gasoline,False,1659116730000.0,
6ff290fa-f7e2-11ec-8255-53db994a0f1e,72887S,Car,131,Nissan,NV,2016,1N6BF0LY7GN812222,79796MJ,131822.6544,,0.55,1112902132,72887S,"Jul-29-2022, 06:54 AM CDT",1659095654000.0,,1,3477d863-ab1a-11ea-a4b9-d1b944c9825d,296341,352602116957116,4017bbbd-a08e-11ec-b997-673c0ac51daa,1,1,Gasoline,False,1659095654000.0,
87ca14ff-f7e2-11ec-8255-6f363e4a181c,1101801849,Car,Default Group,12,12,1996,,,0.0,,0.55,1101801849,,,,,1,,0,352602115644194,43695166-6ffc-11ec-b3da-edcc59cc3343,1,1,Gasoline,False,,
a935fd86-f7e2-11ec-8255-37eb79ddf7ca,75946S,Car,131,nissan,Altima,2017,1N4AL3AP0HC140364,KEF9034,92954.0368,,0.55,1112303880,75946S,"Jul-11-2022, 03:08 PM CDT",1657570135000.0,,1,3eab8a7a-a018-11ea-a065-5d333f77ceac,143349,352602116734580,47658bab-a08e-11ec-b997-edb9d466131d,1,1,Gasoline,False,1657570135000.0,86421.0
c7122fc5-f7e2-11ec-a9f8-d16092a993c9,0051185039,Car,Default Group,12,12,1996,,,0.0,,0.55,0051185039,,,,,1,,0,015169000813127,489bd3f7-ab1b-11ea-a4b9-7d36a68d393b,1,1,Gasoline,False,,
f310d9d1-f7e2-11ec-8255-39f5bcb1d86d,72889S,Car,131,Nissan,NV,2016,1N6BF0LY9GN814506,79795MJ,118147.7331,,0.55,1112301390,72889S,"Jul-29-2022, 12:59 PM CDT",1659117579000.0,,1,8a9388a9-7c3a-464c-017c-cd06c6127db8,567483,352602116709707,4f8e0429-a08e-11ec-b997-4ddbcb312d93,1,1,Gasoline,False,1659117579000.0,
0f3f34d3-f7e3-11ec-8255-1f9018514494,93109,Car,131,RAM,Promaster 2500,2021,3C6LRVDGXME524073,99442NA,46176.328,,0.55,1112902729,93109,"Jul-29-2022, 12:59 PM CDT",1659117588000.0,,1,,496660,352602116963080,566878d7-a08e-11ec-b997-416b1088e114,1,1,Gasoline,True,1659117588000.0,45252.0
b939eabb-f7e3-11ec-a9f8-9347bfa6d4f3,0051286065,Car,Default Group,12,12,1996,,,0.0,,0.55,0051286065,,,,,1,,0,015169002246573,9e26a24b-ab1b-11ea-a4b9-b7332c2d04c2,1,1,Gasoline,False,,
d86de4a0-f7e3-11ec-a9f8-19453da0bbba,0051287036,Car,Default Group,12,12,1996,,,0.0,,0.55,0051287036,,,,,1,,0,015169002246540,a000b98a-ab1b-11ea-a4b9-e5fbbc50a730,1,1,Gasoline,False,,
fe8ccde2-f7e3-11ec-a9f8-e717cfe1edac,82505F,Car,079,DODGE,Grand Caravan,2019,2C4RDGBG8KR649343,N481857,110115.4404,,0.55,1112701053,82505F,"Jul-29-2022, 12:54 PM CDT",1659117279000.0,,1,fee1c6fd-ab1a-11ea-a4b9-63545252f650,259358,352602116856334,c482ec43-a54a-11ec-b997-7def9a82088e,1,1,Gasoline,True,1659117279000.0,110132.0
1804ef5d-fd20-11ec-91c3-2d87f0ab5867,96239,Car,146,FORD,Transit Connect,2022,NM0LS7S23N1518634,TEMPORARY,1612.464,,0.55,1112801393,,"Jul-29-2022, 11:49 AM CDT",1659113399000.0,,1,5d111821-8ed9-11ea-b8cc-8bbd6ca16d64,100425,352602116909687,1804ef5e-fd20-11ec-91c3-e1f4505069f5,1,1,Gasoline,True,1659113399000.0,4253.0
1b63b895-02cb-11ed-91c3-21e221c7d1b9,9011186033,Car,004,NISSAN,NV,2018,1FT7X2B66NED00823,,4944.2,,0.55,9011186033,,"Jul-29-2022, 12:51 PM CDT",1659117067000.0,,1,1b7803e7-02cb-11ed-91c3-cd0d78c2d6f9,284107,015169000507943,1b63b896-02cb-11ed-91c3-81caacdf6c25,1,1,Gasoline,True,1659117067000.0,21062.0
30296a7e-0880-11ed-965f-47a965d73ef9,80950F,Car,099,Nissan,NV200,2018,3N6CM0KN0JK702918,5DJ2470,132198.208,,0.55,0022185120,80950F,"Jul-29-2022, 12:59 PM CDT",1659117578000.0,,1,8a9388a9-7c3a-464c-017c-cd0801e77de6,11991,015169000739041,30296a7f-0880-11ed-965f-95a852a8904b,1,1,Gasoline,True,1659117578000.0,133378.0
025dbd08-088a-11ed-965f-310d3787c4e7,99057,Car,149,NISSAN,Altima,2021,1N4BL4DV3MN409377,2EH0936,16395.0833,,0.55,0022186122,99057,"Jul-29-2022, 09:54 AM CDT",1659106448000.0,,1,8a9388a8-7ece-11ca-017f-dbe7898d6d3f,68624,015169000739066,025dbd09-088a-11ed-965f-d1d5ab449a46,1,1,Gasoline,True,1659106448000.0,16401.0
78c35c29-0a00-11ed-9f59-33ef2010f4e1,8110985050,Car,023,12,12,1996,,,0.0,,0.55,8110985050,,,,,1,8a9388a9-81ce-1695-0182-27b0b24446db,0,015169002004451,78c35c2a-0a00-11ed-9f59-fda0519fc07e,1,1,Gasoline,False,,
8e9ee8e3-0a00-11ed-8bb3-0799d60f3f5e,9011186057,Car,023,12,12,1996,,,0.0,,0.55,9011186057,,,,,1,8a9388a9-81ce-1695-0182-27b1419c46dc,0,015169000508479,8e9ee8e4-0a00-11ed-8bb3-b7b16ae2ff09,1,1,Gasoline,False,,
c2744800-0ec5-11ed-8ca9-bf5e22f53255,9011186080,Car,Default Group,12,12,1996,,,0.0,,0.55,9011186080,,,,,1,8a9388a9-823d-e453-0182-46f486e60a8c,0,015169002010086,c2744801-0ec5-11ed-8ca9-a3415d6c9628,1,1,Gasoline,False,,
